time_s	event
7.678000000000001	charging_start
7.961	charging_stop
8.171000000000001	charging_start
8.427000000000001	charging_stop
8.616	charging_start
8.817	charging_stop
9.071	charging_start
9.265	charging_stop
9.476	charging_start
9.71	charging_stop
9.927000000000001	charging_start
10.127	charging_stop
10.344000000000001	charging_start
10.551	charging_stop
10.746	charging_start
10.986	charging_stop
11.184000000000001	charging_start
11.392000000000001	charging_stop
11.628	charging_start
11.828000000000001	charging_stop
12.021	charging_start
12.271	charging_stop
12.505	charging_start
12.717	charging_stop
39.276	charging_start
39.468	charging_stop
49.751000000000005	charging_start
49.993	charging_stop
53.393	charging_start
53.603	charging_stop
519.8570000000001	charging_start
520.216	charging_stop
520.4150000000001	charging_start
595.6170000000001	charging_stop
595.9340000000001	charging_start
596.129	charging_stop
