time_s	event
19.929000000000002	BATTERY_CHARGING_START
20.092000000000002	BATTERY_CHARGING_STOP
20.295	charging_start cycle_id=0
20.295	cycle_summary cycle_id=0 guests_this_cycle=0 columns_this_cycle=0 guests_after_25=0 columns_after_25=0 distance_to_recharge_at_25=None distance_traveled_this_cycle=131.227 distance_traveled_after_25=0.000
20.295	BATTERY_CHARGING_START
20.506	charging_stop cycle_id=0
20.507	BATTERY_CHARGING_STOP
22.579	charging_start cycle_id=1
22.579	cycle_summary cycle_id=1 guests_this_cycle=0 columns_this_cycle=0 guests_after_25=0 columns_after_25=0 distance_to_recharge_at_25=None distance_traveled_this_cycle=130.121 distance_traveled_after_25=0.000
22.579	BATTERY_CHARGING_START
22.807000000000002	charging_stop cycle_id=1
22.808	BATTERY_CHARGING_STOP
23.072000000000003	charging_start cycle_id=2
23.072000000000003	cycle_summary cycle_id=2 guests_this_cycle=0 columns_this_cycle=0 guests_after_25=0 columns_after_25=0 distance_to_recharge_at_25=None distance_traveled_this_cycle=8.041 distance_traveled_after_25=0.000
23.072000000000003	BATTERY_CHARGING_START
23.265	charging_stop cycle_id=2
23.266000000000002	BATTERY_CHARGING_STOP
23.461000000000002	charging_start cycle_id=3
23.461000000000002	cycle_summary cycle_id=3 guests_this_cycle=0 columns_this_cycle=0 guests_after_25=0 columns_after_25=0 distance_to_recharge_at_25=None distance_traveled_this_cycle=0.000 distance_traveled_after_25=0.000
23.462	BATTERY_CHARGING_START
23.658	charging_stop cycle_id=3
23.658	BATTERY_CHARGING_STOP
23.876	charging_start cycle_id=4
23.876	cycle_summary cycle_id=4 guests_this_cycle=0 columns_this_cycle=0 guests_after_25=0 columns_after_25=0 distance_to_recharge_at_25=None distance_traveled_this_cycle=0.000 distance_traveled_after_25=0.000
23.876	BATTERY_CHARGING_START
24.068	charging_stop cycle_id=4
24.071	BATTERY_CHARGING_STOP
24.267000000000003	charging_start cycle_id=5
24.267000000000003	cycle_summary cycle_id=5 guests_this_cycle=0 columns_this_cycle=0 guests_after_25=0 columns_after_25=0 distance_to_recharge_at_25=None distance_traveled_this_cycle=0.000 distance_traveled_after_25=0.000
24.268	BATTERY_CHARGING_START
24.523000000000003	charging_stop cycle_id=5
24.523000000000003	BATTERY_CHARGING_STOP
24.720000000000002	charging_start cycle_id=6
