EXPERIMENT SUMMARY
Max Linear Speed (m/s)	0.500
Max Angular Speed (rad/s)	0.800
Recharge Trips	3
Cylinders Visited	50/25

TIMING DATA
Total Simulation Time (s)	1802.058
Total Dwelling Time (s)	500.000
Total Travel Time Between Cylinders (s)	1246.202
Total Time To Reach Stations (s)	104.694
Total Charging Time (s)	221.890
Dwelling Time Per Cylinder (s)	10.000

BATTERY DATA
Total Battery Spent To Reach Stations (%)	29.947

RECHARGE TRIPS
Trip #	Trip Start (s)	Arrive (s)	Time To Station (s)	Battery Start (%)	Battery At Arrival (%)	Battery Spent To Station (%)	Charge Start (s)	Charge End (s)	Charging Time (s)	Battery At Charge Start (%)	Battery End (%)	Battery Gain (%)	Finalized Reason
1	448.160	474.604	26.444	24.982	17.237	7.744	475.206	547.310	72.104	17.889	98.001	80.111	charging_end:trend_full
2	945.052	972.702	27.650	24.993	16.711	8.283	973.604	1045.903	72.299	17.701	98.032	80.331	charging_end:trend_full
3	1495.156	1545.756	50.600	24.999	11.078	13.921	1546.515	1624.002	77.487	11.972	98.079	86.108	charging_end:trend_full

RECHARGE STATIONS
Station #	X	Y
1	0.000	4.000
2	0.000	-4.000
3	19.000	4.000
4	19.000	-4.000
5	-19.000	4.000
6	-19.000	-4.000

ALL CYLINDERS
Cylinder #	X	Y
1	12.465	-2.306
2	10.629	0.360
3	17.057	1.997
4	-15.351	-2.888
5	4.837	-3.170
6	9.341	2.831
7	1.952	-0.085
8	-0.812	-1.696
9	-7.026	-1.835
10	8.668	-0.537
11	14.158	2.992
12	4.121	0.982
13	-8.458	0.073
14	6.947	1.412
15	-17.395	0.019
16	-15.944	1.752
17	-17.903	-2.740
18	5.379	2.920
19	-3.067	-1.933
20	14.183	-0.196
21	-5.179	-0.324
22	-13.332	-1.926
23	-11.215	2.098
24	12.571	1.402
25	-3.215	1.757

VISITED CYLINDERS
Visit #	X	Y	Arrival Time (s)	Travel Time (s)
1	-16.249	1.675	40.201	40.201
2	-17.374	0.220	59.361	9.160
3	-15.431	-2.700	92.911	23.550
4	-17.727	-2.635	113.252	10.341
5	-13.529	-1.939	140.852	17.600
6	-11.337	1.950	182.655	31.803
7	-8.643	0.141	207.259	14.604
8	-7.169	-1.707	238.252	20.993
9	-5.383	-0.374	258.906	10.654
10	-3.256	-1.856	281.403	12.497
11	-3.266	1.566	305.400	13.997
12	-0.974	-1.576	332.050	16.650
13	1.760	-0.124	357.302	15.252
14	3.894	1.035	411.102	43.800
15	5.232	2.787	443.802	22.700
16	-3.037	1.852	577.007	123.205
17	-0.878	-1.508	605.905	18.898
18	-2.914	-1.797	627.466	11.561
19	-4.988	-0.365	649.005	11.539
20	-6.841	-1.766	676.808	17.803
21	-8.272	-0.021	698.955	12.147
22	-13.139	-1.868	731.754	22.799
23	-11.263	1.896	757.659	15.905
24	-15.739	1.718	785.451	17.792
25	-17.209	0.107	806.404	10.953
26	-15.392	-2.695	830.400	13.996
27	-17.726	-2.641	852.358	11.958
28	-9.697	4.951	929.061	66.703
29	-16.101	1.877	1077.050	137.989
30	-17.372	0.225	1098.208	11.158
31	-15.424	-2.697	1133.161	24.953
32	-17.723	-2.641	1153.254	10.093
33	-13.533	-1.926	1179.553	16.299
34	-11.362	1.973	1207.053	17.500
35	-8.647	0.130	1230.257	13.204
36	-7.193	-1.703	1263.107	22.850
37	-5.375	-0.363	1284.300	11.193
38	-3.260	-1.862	1311.253	16.953
39	-3.288	1.563	1335.725	14.472
40	-0.968	-1.569	1362.856	17.131
41	1.746	-0.119	1386.059	13.203
42	3.891	1.008	1432.362	36.303
43	5.211	2.793	1455.102	12.740
44	6.753	1.460	1474.875	9.773
45	-3.049	1.874	1654.552	169.677
46	-0.867	-1.518	1684.151	19.599
47	-2.915	-1.798	1706.710	12.559
48	-4.979	-0.355	1727.900	11.190
49	-6.842	-1.770	1755.360	17.460
50	-8.285	-0.025	1776.403	11.043

ROBOT PATH
Sample #	Time (s)	X	Y	Yaw (rad)
1	14.382	-18.996862	4.042312	0.140478
2	15.001	-18.998825	4.024715	0.076012
3	16.001	-18.996862	4.042312	0.140478
4	17.006	-18.971291	3.872140	-0.670838
5	18.002	-19.014727	3.935803	-0.229787
6	19.000	-18.840202	3.697911	-0.893364
7	20.001	-18.383652	3.327179	-0.667799
8	21.014	-18.224894	3.235003	-0.606465
9	22.004	-17.906629	2.974277	-0.671060
10	23.002	-17.683315	2.793123	-0.673862
11	24.003	-17.503302	2.674277	-0.626806
12	25.003	-17.390545	2.613901	-0.595582
13	26.000	-17.332987	2.568739	-0.617342
14	27.000	-17.314097	2.553796	-0.625925
15	28.000	-17.246991	2.497826	-0.649891
16	29.007	-17.214925	2.470428	-0.658274
17	30.000	-17.192687	2.451624	-0.661012
18	31.000	-17.170275	2.431228	-0.667001
19	32.001	-17.170275	2.431228	-0.667001
20	33.005	-17.170275	2.431228	-0.667001
21	34.000	-17.170275	2.431228	-0.667001
22	35.000	-17.170275	2.431228	-0.667001
23	36.000	-17.170275	2.431228	-0.667001
24	37.006	-17.170275	2.431228	-0.667001
25	38.001	-17.170275	2.431228	-0.667001
26	39.002	-17.170275	2.431228	-0.667001
27	40.004	-17.170275	2.431228	-0.667001
28	41.000	-17.170275	2.431228	-0.667001
29	42.001	-17.158862	2.500800	-1.139435
30	43.000	-17.202435	2.518845	-1.319188
31	44.002	-17.316524	2.306207	-1.639487
32	45.000	-17.324695	2.014555	-1.612232
33	46.001	-17.329195	1.796298	-1.601401
34	47.000	-17.333217	1.637496	-1.599264
