EXPERIMENT SUMMARY
Max Linear Speed (m/s)	0.500
Max Angular Speed (rad/s)	0.800
Recharge Trips	3
Cylinders Visited	55/35

TIMING DATA
Total Simulation Time (s)	1807.611
Total Dwelling Time (s)	550.000
Total Travel Time Between Cylinders (s)	1218.301
Total Time To Reach Stations (s)	62.947
Total Charging Time (s)	208.802
Dwelling Time Per Cylinder (s)	10.000

BATTERY DATA
Total Battery Spent To Reach Stations (%)	15.488

RECHARGE TRIPS
Trip #	Trip Start (s)	Arrive (s)	Time To Station (s)	Battery Start (%)	Battery At Arrival (%)	Battery Spent To Station (%)	Charge Start (s)	Charge End (s)	Charging Time (s)	Battery At Charge Start (%)	Battery End (%)	Battery Gain (%)	Finalized Reason
1	447.658	461.501	13.843	24.989	21.412	3.577	462.403	530.504	68.101	22.400	98.067	75.668	charging_end:trend_full
2	980.951	1011.452	30.501	24.992	17.719	7.273	1012.200	1083.707	71.507	18.608	98.052	79.444	charging_end:trend_full
3	1555.801	1574.404	18.603	24.995	20.356	4.639	1575.106	1644.300	69.194	21.120	98.008	76.888	charging_end:trend_full

RECHARGE STATIONS
Station #	X	Y
1	0.000	4.000
2	0.000	-4.000
3	19.000	4.000
4	19.000	-4.000
5	-19.000	4.000
6	-19.000	-4.000

ALL CYLINDERS
Cylinder #	X	Y
1	6.945	2.784
2	-5.345	-1.722
3	9.953	-2.978
4	0.443	2.414
5	11.553	-1.285
6	-14.632	-1.877
7	6.154	-0.361
8	-1.737	-1.977
9	8.087	-0.933
10	-11.754	3.054
11	-7.179	1.041
12	-2.134	1.697
13	15.167	-3.112
14	-16.897	-2.184
15	16.936	-1.004
16	-10.253	-1.807
17	-16.982	1.151
18	3.944	1.817
19	15.903	1.367
20	11.210	1.896
21	9.094	3.071
22	-15.138	2.552
23	13.502	2.826
24	2.090	0.060
25	13.842	-0.501
26	0.357	-3.078
27	-12.562	-0.075
28	-4.645	0.255
29	17.956	2.731
30	-8.122	-2.639
31	6.304	-2.943
32	-12.603	-2.792
33	-7.216	3.061
34	-5.051	3.115
35	-9.453	2.752

VISITED CYLINDERS
Visit #	X	Y	Arrival Time (s)	Travel Time (s)
1	-17.094	1.324	42.700	42.700
2	-15.333	2.533	63.807	11.107
3	-16.883	-1.983	111.354	37.547
4	-14.809	-1.775	131.304	9.950
5	-12.746	-0.143	154.492	13.188
6	-12.702	-2.618	176.608	12.116
7	-10.462	-1.795	198.663	12.055
8	-8.356	-2.695	240.405	31.742
9	-5.536	-1.757	283.108	32.703
10	-7.152	0.841	306.051	12.943
11	-4.842	0.206	326.902	10.851
12	-5.122	2.927	350.352	13.450
13	-7.042	2.946	369.501	9.149
14	-9.255	2.715	395.609	16.108
15	-2.338	1.717	432.706	27.097
16	0.357	2.603	547.554	104.848
17	-1.999	1.846	566.975	9.421
18	-4.849	3.098	590.351	13.376
19	-4.583	0.451	613.105	12.754
20	-6.977	1.086	634.853	11.748
21	-7.085	2.900	656.156	11.303
22	-9.257	2.719	678.116	11.960
23	-10.159	-1.630	706.903	18.787
24	-8.231	-2.469	727.607	10.704
25	-5.551	-1.705	751.460	13.853
26	-12.420	-2.762	812.052	50.592
27	-12.458	-0.254	835.502	13.450
28	-14.429	-1.833	857.005	11.503
29	-15.062	2.372	888.607	21.602
30	-16.784	1.166	909.360	10.753
31	-16.818	-1.996	934.603	15.243
32	-11.893	2.905	970.352	25.749
33	-17.088	1.324	1114.704	134.352
34	-15.341	2.533	1135.159	10.455
35	-16.854	-1.983	1183.307	38.148
36	-14.809	-1.778	1203.105	9.798
37	-12.750	-0.142	1226.357	13.252
38	-12.709	-2.615	1248.608	12.251
39	-10.458	-1.798	1271.612	13.004
40	-8.338	-2.724	1316.552	34.940
41	-5.570	-1.716	1363.251	36.699
42	-7.154	0.840	1385.713	12.462
43	-4.845	0.201	1405.805	10.092
44	-5.106	2.924	1430.055	14.250
45	-7.053	2.936	1450.153	10.098
46	-9.252	2.726	1476.056	15.903
47	-2.325	1.716	1514.701	28.645
48	0.241	2.378	1552.903	28.202
49	0.361	2.606	1663.055	100.152
50	-1.999	1.837	1688.811	15.756
51	-4.847	3.090	1712.664	13.853
52	-4.572	0.451	1735.103	12.439
53	-6.981	1.064	1758.400	13.297
54	-7.093	2.900	1779.310	10.910
55	-9.262	2.698	1801.001	11.691

