EXPERIMENT SUMMARY
Max Linear Speed (m/s),0.500
Max Angular Speed (rad/s),0.800
Recharge Trips,1
Cylinders Visited,19/100

TIMING DATA
Total Simulation Time (s),570.411
Total Dwelling Time (s),95.000
Total Travel Time Between Cylinders (s),430.051
Total Time To Reach Stations (s),25.099
Total Charging Time (s),0.000
Dwelling Time Per Cylinder (s),5.000

BATTERY DATA
Total Battery Spent To Reach Stations (%),3.868

RECHARGE TRIPS
Trip #,Trip Start (s since start),Arrive (s since start),Time To Station (s),Battery Start (%),Battery At Arrival (%),Battery Spent To Station (%),Charge Start (s since start),Charge End (s since start),Charging Time (s),Battery End (%),Battery Gain During Charge (%)
1,124.551,149.650,25.099,24.992,21.124,3.868,,570.411,0.000,71.946,0.000

RECHARGE STATIONS
Station #,X,Y
1,0.000,4.000
2,0.000,-4.000
3,49.000,4.000
4,49.000,-4.000
5,-49.000,-4.000

ALL CYLINDERS
Cylinder #,X,Y
1,-19.923,-1.556
2,18.326,-1.141
3,-24.655,1.506
4,-35.448,1.028
5,-1.606,2.486
6,19.435,1.348
7,-27.225,-3.173
8,-31.576,0.703
9,-45.859,0.944
10,4.258,3.047
11,-37.682,0.306
12,-5.150,-2.284
13,-18.192,-0.219
14,-34.408,-2.968
15,-13.692,0.427
16,36.198,2.572
17,-21.180,2.655
18,16.306,-2.981
19,-40.011,-1.153
20,10.349,1.237
21,-9.841,0.972
22,35.761,-2.502
23,24.881,-2.163
24,47.265,-2.864
25,31.948,-1.827
26,-12.267,-2.065
27,-41.633,1.718
28,20.435,-3.238
29,-28.670,-0.749
30,-17.829,2.553
31,-22.630,0.208
32,33.949,2.133
33,13.829,1.273
34,-22.952,-2.624
35,42.662,2.715
36,3.244,-2.436
37,37.754,-1.094
38,-5.885,1.761
39,1.174,-2.723
40,-28.388,2.390
41,7.718,-2.134
42,43.127,-2.474
43,-3.158,-2.638
44,-8.677,3.106
45,47.450,0.411
46,-15.535,-1.540
47,-3.732,2.333
48,-7.032,-0.836
49,39.850,0.261
50,-32.728,-1.581
51,-43.945,2.827
52,30.183,-2.995
53,33.973,-1.125
54,25.692,1.502
55,1.809,2.250
56,7.089,2.155
57,12.518,-3.240
58,-47.821,-1.142
59,39.841,-2.678
60,-31.056,-2.862
61,28.227,0.978
62,-8.439,-2.957
63,-44.162,-2.626
64,-3.097,-0.443
65,-36.507,3.137
66,14.125,-0.900
67,39.681,2.516
68,-39.619,2.118
69,23.827,0.305
70,-48.097,2.071
71,6.352,0.243
72,-32.114,3.024
73,-14.872,2.986
74,21.535,2.528
75,28.452,-1.928
76,16.378,2.494
77,30.236,2.784
78,-26.850,0.441
79,30.516,0.034
80,-37.141,-3.071
81,46.789,3.210
82,-42.757,-0.505
83,-18.163,-2.901
84,-7.763,1.049
85,-25.024,-0.607
86,10.534,-2.710
87,22.563,-1.557
88,2.721,-0.407
89,-0.854,-3.179
90,21.770,0.524
91,41.930,0.216
92,24.537,3.202
93,-10.961,3.186
94,-14.204,-3.228
95,9.756,-0.691
96,32.491,0.586
97,37.523,0.966
98,45.330,1.051
99,27.338,3.006
100,-9.906,-1.390

VISITED CYLINDERS
Visit #,X,Y,Travel Time to Here (s)
1,-48.196,2.250,37.102
2,-46.020,1.070,27.709
3,-44.138,2.773,11.893
4,-41.835,1.749,16.948
5,-42.781,-0.303,10.499
6,-47.899,-1.336,183.550
7,-44.358,-2.625,16.107
8,-42.913,-0.623,20.492
9,-45.718,0.803,13.501
10,-44.013,2.643,11.899
11,-41.836,1.698,11.000
12,-40.164,-1.017,19.300
13,-39.723,1.943,13.603
14,-37.880,0.342,10.647
15,-36.646,2.993,11.200
16,-35.621,1.138,9.751
17,-37.126,-2.869,17.899
18,-34.586,-2.880,13.152
19,-32.922,-1.635,10.901
