EXPERIMENT SUMMARY
Max Linear Speed (m/s)	0.500
Max Angular Speed (rad/s)	0.800
Recharge Trips	3
Cylinders Visited	57/30

TIMING DATA
Total Simulation Time (s)	1800.372
Total Dwelling Time (s)	570.000
Total Travel Time Between Cylinders (s)	1196.342
Total Time To Reach Stations (s)	85.197
Total Charging Time (s)	215.699
Dwelling Time Per Cylinder (s)	10.000

BATTERY DATA
Total Battery Spent To Reach Stations (%)	23.130

RECHARGE TRIPS
Trip #	Trip Start (s)	Arrive (s)	Time To Station (s)	Battery Start (%)	Battery At Arrival (%)	Battery Spent To Station (%)	Charge Start (s)	Charge End (s)	Charging Time (s)	Battery At Charge Start (%)	Battery End (%)	Battery Gain (%)	Finalized Reason
1	429.353	441.803	12.450	24.994	21.784	3.209	442.702	510.407	67.705	22.784	98.008	75.223	charging_end:trend_full
2	981.952	1016.003	34.051	24.999	14.817	10.182	1016.804	1090.904	74.100	15.691	98.029	82.338	charging_end:trend_full
3	1535.554	1574.250	38.696	25.000	15.261	9.739	1575.108	1648.702	73.594	16.266	98.039	81.772	charging_end:trend_full

RECHARGE STATIONS
Station #	X	Y
1	0.000	4.000
2	0.000	-4.000
3	19.000	4.000
4	19.000	-4.000
5	-19.000	4.000
6	-19.000	-4.000

ALL CYLINDERS
Cylinder #	X	Y
1	-8.720	1.768
2	3.788	-0.419
3	11.811	1.851
4	-11.900	-0.298
5	-1.180	-3.061
6	15.071	3.213
7	6.007	-1.002
8	17.467	0.476
9	-10.237	-3.073
10	-15.809	-1.761
11	-5.862	-0.456
12	-6.837	2.983
13	6.508	2.924
14	1.655	1.242
15	8.604	-0.502
16	-3.419	-2.590
17	4.297	2.780
18	-5.747	-2.756
19	12.943	-1.557
20	-17.865	1.675
21	1.606	-2.485
22	-15.412	0.537
23	-2.633	2.215
24	-16.066	2.701
25	-8.056	-1.381
26	9.647	2.594
27	-14.104	-2.923
28	17.027	-1.889
29	3.953	-3.094
30	-12.676	2.540

VISITED CYLINDERS
Visit #	X	Y	Travel Time (s)
1	-18.117	1.754	29.460
2	-16.265	2.709	11.650
3	-15.541	0.689	11.194
4	-15.840	-1.563	10.999
5	-14.227	-2.761	19.149
6	-12.081	-0.390	15.499
7	-12.705	2.346	13.301
8	-8.910	1.725	16.713
9	-8.158	-1.204	18.589
10	-10.151	-2.887	12.300
11	-5.942	-2.711	22.396
12	-5.975	-0.629	9.956
13	-3.615	-2.529	14.594
14	-2.712	2.028	18.752
15	-6.667	2.884	16.907
16	-1.295	-2.919	27.795
17	-1.000	-3.172	98.748
18	1.436	-2.599	13.055
19	3.758	-3.103	13.001
20	3.708	-0.608	12.746
21	5.804	-1.043	12.655
22	4.301	2.581	21.605
23	6.341	2.801	10.039
24	1.852	1.276	17.402
25	-2.438	2.196	33.197
26	-3.340	-2.406	20.103
27	-5.667	-0.512	15.000
28	-5.640	-2.578	8.148
29	-7.855	-1.396	13.957
30	-8.622	1.606	18.998
31	-6.917	2.797	9.898
32	-11.715	-0.230	31.207
33	-12.536	2.386	16.549
34	-15.224	0.603	15.805
35	-17.942	1.861	125.892
36	-16.272	2.720	9.646
37	-15.545	0.685	12.398
38	-15.839	-1.561	11.299
39	-14.234	-2.769	19.957
40	-12.076	-0.399	15.599
41	-10.406	-2.959	13.492
42	-8.257	-1.435	11.410
43	-8.752	1.567	13.141
44	-6.063	-0.406	14.002
45	-5.844	-2.582	13.556
46	-3.613	-2.521	12.606
47	-2.707	2.037	19.440
48	-6.667	2.885	17.148
49	-1.318	-2.903	27.899
50	1.412	-2.470	12.848
51	1.594	1.047	15.301
52	-0.999	-3.166	139.349
53	1.443	-2.612	9.655
54	3.751	-3.111	12.450
55	3.698	-0.602	12.649
56	5.806	-1.046	12.101
57	4.299	2.582	22.597

ROBOT PATH
Sample #	Time (s)	X	Y	Yaw (rad)
1	6.396	-19.000005	4.000000	-0.000000
2	7.000	-18.999359	4.018547	0.057492
3	8.000	-19.009617	3.894102	-0.431698
4	9.001	-18.961241	3.872806	-0.727312
5	10.000	-18.939459	3.886631	-0.830765
