EXPERIMENT SUMMARY
Max Linear Speed (m/s)	0.500
Max Angular Speed (rad/s)	0.800
Recharge Trips	2
Cylinders Visited	35/30

TIMING DATA
Total Simulation Time (s)	1201.770
Total Dwelling Time (s)	350.000
Total Travel Time Between Cylinders (s)	832.900
Total Time To Reach Stations (s)	66.647
Total Charging Time (s)	147.700
Dwelling Time Per Cylinder (s)	10.000

BATTERY DATA
Total Battery Spent To Reach Stations (%)	19.865

RECHARGE TRIPS
Trip #	Trip Start (s)	Arrive (s)	Time To Station (s)	Battery Start (%)	Battery At Arrival (%)	Battery Spent To Station (%)	Charge Start (s)	Charge End (s)	Charging Time (s)	Battery At Charge Start (%)	Battery End (%)	Battery Gain (%)	Finalized Reason
1	454.656	471.351	16.695	24.994	20.344	4.650	472.206	541.202	68.996	21.347	98.011	76.663	charging_end:trend_full
2	997.400	1047.352	49.952	24.999	9.784	15.215	1048.005	1126.709	78.704	10.559	98.004	87.444	charging_end:trend_full

RECHARGE STATIONS
Station #	X	Y
1	0.000	4.000
2	0.000	-4.000
3	19.000	4.000
4	19.000	-4.000
5	-19.000	4.000
6	-19.000	-4.000

ALL CYLINDERS
Cylinder #	X	Y
1	7.901	0.526
2	-4.194	-3.067
3	8.031	-2.665
4	-13.079	3.007
5	10.403	-0.646
6	2.731	3.125
7	-1.088	-2.827
8	-6.117	2.597
9	10.043	1.733
10	13.471	-2.484
11	14.507	2.901
12	-10.117	1.142
13	-15.516	-1.427
14	6.339	2.472
15	4.326	-0.680
16	-8.823	-1.863
17	-12.664	0.104
18	12.826	1.542
19	-16.504	2.125
20	1.164	0.995
21	-18.013	0.318
22	16.317	-0.680
23	1.854	-1.354
24	-4.881	-0.173
25	17.005	-3.247
26	-2.648	-0.923
27	3.934	-2.764
28	13.502	-0.457
29	6.545	-1.261
30	-18.240	-2.695

VISITED CYLINDERS
Visit #	X	Y	Travel Time (s)
1	-16.653	2.251	27.654
2	-17.980	0.520	12.055
3	-15.626	-1.264	13.994
4	-18.123	-2.533	12.799
5	-12.862	0.052	34.752
6	-13.140	2.817	13.709
7	-10.318	1.161	14.392
8	-8.943	-1.702	23.797
9	-5.072	-0.203	19.154
10	-6.112	2.393	12.750
11	-2.816	-0.815	31.103
12	-4.165	-2.867	11.892
13	-1.272	-2.743	13.409
14	1.662	-1.391	13.699
15	1.119	0.796	11.494
16	4.125	-0.671	14.704
17	3.850	-2.579	11.147
18	-0.923	-2.954	95.301
19	1.730	-1.507	13.798
20	3.739	-2.735	11.602
21	4.190	-0.826	12.849
22	6.346	-1.278	12.250
23	7.847	-2.590	10.451
24	7.816	0.344	18.396
25	10.201	-0.656	12.011
26	9.962	1.546	11.688
27	12.630	1.485	14.501
28	13.342	-0.338	9.803
29	13.414	-2.295	16.853
30	16.126	-0.716	21.597
31	16.870	-3.097	13.926
32	14.568	2.715	28.822
33	16.944	-4.950	39.704
34	14.712	2.942	193.851
35	13.001	1.644	30.647

ROBOT PATH
Sample #	Time (s)	X	Y	Yaw (rad)
1	7.004	-18.999961	4.005187	0.017330
2	8.001	-18.999961	4.005187	0.017330
3	9.005	-18.983855	3.879108	-0.542092
4	10.000	-18.973869	3.873144	-0.603583
5	11.001	-18.723398	3.701831	-0.603594
6	12.003	-18.689728	3.676730	-0.608404
7	13.000	-18.238427	3.359261	-0.611666
8	14.006	-18.093668	3.262200	-0.602400
9	15.000	-17.844563	3.118574	-0.552869
10	16.000	-17.741561	3.071795	-0.526504
11	17.000	-17.665968	3.032700	-0.535357
12	18.000	-17.618961	2.998387	-0.574908
13	19.000	-17.588533	2.970340	-0.615582
14	20.000	-17.588533	2.970340	-0.615582
15	21.012	-17.588533	2.970340	-0.615582
16	22.014	-17.588533	2.970340	-0.615582
17	23.003	-17.588533	2.970340	-0.615582
18	24.000	-17.588533	2.970340	-0.615582
19	25.000	-17.588533	2.970340	-0.615582
20	26.001	-17.588533	2.970340	-0.615582
21	27.016	-17.588533	2.970340	-0.615582
22	28.004	-17.576342	2.968986	-0.682830
23	29.003	-17.538244	3.004071	-0.933461
24	30.002	-17.574785	3.041543	-1.190500
25	31.003	-17.727837	3.066521	-1.723831
26	32.000	-17.735436	2.990073	-1.711342
27	33.003	-17.767319	2.525216	-1.658947
28	34.000	-17.795171	2.250275	-1.666474
29	35.000	-17.809337	2.041604	-1.650503
30	36.001	-17.814315	1.905621	-1.634677
31	37.000	-17.816365	1.839793	-1.628211
32	38.000	-17.817510	1.799836	-1.624626
33	39.001	-17.819494	1.725633	-1.618687
34	40.001	-17.820795	1.699640	-1.618987
35	41.000	-17.820795	1.699640	-1.618987
36	42.000	-17.820795	1.699640	-1.618987
37	43.004	-17.820795	1.699640	-1.618987
38	44.001	-17.820795	1.699640	-1.618987
39	45.000	-17.820795	1.699640	-1.618987
40	46.004	-17.820795	1.699640	-1.618987
41	47.001	-17.820795	1.699640	-1.618987
42	48.004	-17.820795	1.699640	-1.618987
43	49.000	-17.820795	1.699640	-1.618987
44	50.001	-17.820767	1.699641	-1.618896
45	51.000	-17.695260	1.712321	-1.181929
46	52.000	-17.598672	1.608853	-0.980201
47	53.000	-17.397384	1.317572	-0.970786
48	54.000	-17.237663	1.085153	-0.969558
49	55.000	-17.091638	0.872470	-0.969307
50	56.000	-16.891328	0.580597	-0.969325
51	57.009	-16.718269	0.328429	-0.969330
52	58.002	-16.600492	0.119586	-1.019603
53	59.001	-16.573527	0.054754	-1.040618
54	60.000	-16.488586	-0.121279	-1.037315
55	61.000	-16.470773	-0.153249	-1.028795
56	62.006	-16.417477	-0.240573	-1.000218
57	63.000	-16.390187	-0.279765	-0.984653
58	64.001	-16.356511	-0.317211	-0.955359
59	65.000	-16.356511	-0.317211	-0.955359
60	66.010	-16.356511	-0.317211	-0.955359
61	67.008	-16.356511	-0.317211	-0.955359
62	68.000	-16.356511	-0.317211	-0.955359
63	69.002	-16.356511	-0.317211	-0.955359
64	70.001	-16.356511	-0.317211	-0.955359
65	71.000	-16.356511	-0.317211	-0.955359
