EXPERIMENT SUMMARY
Max Linear Speed (m/s)	0.500
Max Angular Speed (rad/s)	0.800
Recharge Trips	1
Cylinders Visited	18/30

TIMING DATA
Total Simulation Time (s)	508.402
Total Dwelling Time (s)	180.000
Total Travel Time Between Cylinders (s)	252.304
Total Time To Reach Stations (s)	33.411
Total Charging Time (s)	14.398
Dwelling Time Per Cylinder (s)	10.000

BATTERY DATA
Total Battery Spent To Reach Stations (%)	8.168

RECHARGE TRIPS
Trip #	Trip Start (s)	Arrive (s)	Time To Station (s)	Battery Start (%)	Battery At Arrival (%)	Battery Spent To Station (%)	Charge Start (s)	Charge End (s)	Charging Time (s)	Battery At Charge Start (%)	Battery End (%)	Battery Gain (%)	Finalized Reason
1	459.859	493.270	33.411	24.984	16.815	8.168	494.004	508.402	14.398	17.704	33.704	16.000	shutdown

RECHARGE STATIONS
Station #	X	Y
1	0.000	4.000
2	0.000	-4.000
3	19.000	4.000
4	19.000	-4.000
5	-19.000	4.000
6	-19.000	-4.000

ALL CYLINDERS
Cylinder #	X	Y
1	-17.038	1.112
2	-12.615	3.085
3	-3.614	0.438
4	-17.267	-2.845
5	4.370	0.956
6	10.362	-3.126
7	-7.347	-0.217
8	15.218	-2.453
9	1.485	-0.210
10	-11.382	1.338
11	17.479	0.580
12	-4.824	2.059
13	-1.558	-1.979
14	-6.037	-2.090
15	11.569	2.406
16	-8.891	-1.796
17	6.365	-2.813
18	10.916	-0.896
19	0.230	1.571
20	17.531	-2.129
21	6.108	2.599
22	-13.715	0.470
23	8.312	1.976
24	-12.251	-2.230
25	-15.686	-1.325
26	12.919	-1.263
27	14.108	2.232
28	-9.589	2.526
29	-3.934	-2.076
30	-18.097	-0.595

VISITED CYLINDERS
Visit #	X	Y	Travel Time (s)
1	-17.472	1.058	33.702
2	-18.108	-0.391	9.703
3	-15.837	-1.193	11.461
4	-17.223	-2.645	8.039
5	-13.899	0.374	29.897
6	-12.416	-2.103	12.548
7	-11.504	1.178	16.251
8	-12.590	2.891	9.954
9	-9.795	2.475	25.050
10	-7.512	-0.098	15.567
11	-8.851	-1.599	9.284
12	-6.221	-2.000	13.345
13	-4.128	-2.023	21.102
14	-3.738	0.277	9.105
15	-4.808	1.854	9.142
16	-1.707	-1.846	28.458
17	0.087	1.432	14.943
18	1.290	-0.141	8.455

ROBOT PATH
Sample #	Time (s)	X	Y	Yaw (rad)
1	6.003	-18.997838	4.034610	0.114845
2	7.003	-18.997838	4.034610	0.114845
3	8.001	-18.991519	3.877031	-0.561698
4	9.000	-18.991519	3.877031	-0.561698
5	10.000	-18.958222	3.947580	-1.236071
6	11.005	-18.931209	3.927768	-1.090875
7	12.000	-18.842317	3.678044	-1.169376
8	13.003	-18.782164	3.481408	-1.209722
9	14.000	-18.729751	3.318203	-1.221201
10	15.000	-18.675610	3.148943	-1.226742
11	16.000	-18.562235	2.809127	-1.218180
12	17.001	-18.517951	2.686481	-1.208395
13	18.000	-18.414083	2.427827	-1.160803
14	19.000	-18.361415	2.320673	-1.119879
15	20.000	-18.372438	2.343213	-1.125870
16	21.004	-18.285567	2.179040	-1.061447
17	22.002	-18.235579	2.096297	-1.026834
18	23.007	-18.211740	2.060344	-1.010408
19	24.000	-18.181855	2.018079	-0.989823
20	25.000	-18.181855	2.018079	-0.989823
21	26.000	-18.181855	2.018079	-0.989823
22	27.007	-18.181855	2.018079	-0.989823
23	28.003	-18.181855	2.018079	-0.989823
24	29.006	-18.181855	2.018079	-0.989823
25	30.000	-18.181855	2.018079	-0.989823
26	31.003	-18.181855	2.018079	-0.989823
27	32.004	-18.181855	2.018079	-0.989823
28	33.007	-18.181855	2.018079	-0.989823
29	34.000	-18.188014	2.027015	-1.046592
30	35.001	-18.228456	2.052619	-1.256957
31	36.000	-18.305496	1.879723	-1.553503
32	37.000	-18.304714	1.782061	-1.556096
33	38.000	-18.288733	1.351371	-1.533207
34	39.007	-18.268427	1.137622	-1.503479
35	40.000	-18.264700	1.038306	-1.511935
36	41.000	-18.261314	0.919416	-1.521950
37	42.000	-18.259865	0.859189	-1.526464
38	43.002	-18.258672	0.807102	-1.529891
39	44.000	-18.258441	0.795696	-1.530657
40	45.001	-18.258441	0.795696	-1.530657
41	46.001	-18.258441	0.795696	-1.530657
42	47.000	-18.258441	0.795696	-1.530657
43	48.000	-18.258441	0.795696	-1.530657
44	49.000	-18.258441	0.795696	-1.530657
45	50.001	-18.258441	0.795696	-1.530657
46	51.005	-18.258441	0.795696	-1.530657
47	52.014	-18.258441	0.795696	-1.530657
48	53.005	-18.258441	0.795696	-1.530657
49	54.000	-18.211276	0.790742	-1.358997
50	55.000	-18.163367	0.758124	-1.052870
51	56.000	-18.163587	0.719725	-0.834300
52	57.000	-18.166364	0.713728	-0.805004
