EXPERIMENT SUMMARY
Max Linear Speed (m/s)	0.500
Max Angular Speed (rad/s)	0.800
Recharge Trips	1
Cylinders Visited	35/30

TIMING DATA
Total Simulation Time (s)	1318.784
Total Dwelling Time (s)	350.000
Total Travel Time Between Cylinders (s)	884.942
Total Time To Reach Stations (s)	30.945
Total Charging Time (s)	167.625
Dwelling Time Per Cylinder (s)	10.000

BATTERY DATA
Total Battery Spent To Reach Stations (%)	7.433

RECHARGE TRIPS
Trip #	Trip Start (s)	Arrive (s)	Time To Station (s)	Battery Start (%)	Battery At Arrival (%)	Battery Spent To Station (%)	Charge Start (s)	Charge End (s)	Charging Time (s)	Battery At Charge Start (%)	Battery End (%)	Battery Gain (%)	Finalized Reason
1	466.255	497.200	30.945	24.988	17.555	7.433	497.800	569.711	71.911	18.209	98.101	79.892	charging_end:trend_full

RECHARGE STATIONS
Station #	X	Y
1	0.000	4.000
2	0.000	-4.000
3	19.000	4.000
4	19.000	-4.000
5	-19.000	4.000
6	-19.000	-4.000

ALL CYLINDERS
Cylinder #	X	Y
1	-2.175	-1.269
2	-15.000	-1.700
3	15.212	-0.430
4	15.279	1.989
5	-6.316	2.605
6	-10.410	-3.186
7	-6.439	-2.552
8	10.976	0.720
9	17.442	-1.993
10	-10.623	1.711
11	4.317	0.301
12	-2.075	0.863
13	8.776	2.113
14	-13.142	1.827
15	6.394	-2.581
16	-8.389	2.189
17	3.626	2.915
18	3.746	-1.632
19	-18.070	-2.581
20	9.106	-2.657
21	11.914	-1.658
22	-1.969	2.930
23	-18.024	3.059
24	-7.923	-0.044
25	8.048	-0.557
26	-17.714	0.804
27	-0.332	-2.329
28	-15.272	0.423
29	-12.462	-0.694
30	6.514	2.140

VISITED CYLINDERS
Visit #	X	Y	Arrival Time (s)	Travel Time (s)
1	-18.154	3.221	20.818	20.818
2	-17.799	0.992	54.512	23.694
3	-15.442	0.517	84.304	19.792
4	-15.093	-1.525	108.459	14.155
5	-17.912	-2.460	136.001	17.542
6	-12.660	-0.728	179.553	33.552
7	-13.185	1.630	201.402	11.849
8	-10.809	1.633	225.800	14.398
9	-8.521	1.992	262.507	26.707
10	-8.076	0.092	279.553	7.046
11	-6.476	2.491	304.159	14.606
12	-6.471	-2.354	339.359	25.200
13	-10.238	-3.094	369.353	19.994
14	-4.183	-4.951	404.315	24.962
15	-2.311	-1.418	428.605	14.290
16	-0.535	-2.331	448.558	9.953
17	-0.307	-2.538	589.101	130.543
18	-2.058	-1.427	610.951	11.850
19	-2.020	0.665	638.402	17.451
20	-1.936	2.721	671.352	22.950
21	-6.122	2.573	699.404	18.052
22	-8.174	2.194	738.452	29.048
23	-7.825	0.135	758.550	10.098
24	-10.424	1.686	786.501	17.951
25	-12.290	-0.590	810.504	14.003
26	-12.996	1.691	830.853	10.349
27	-15.066	0.455	852.105	11.252
28	-14.916	-1.518	873.300	11.195
29	-17.526	0.737	913.658	30.358
30	-17.965	-2.413	937.254	13.596
31	-19.608	4.942	1000.601	53.347
32	-18.200	3.175	1017.900	7.299
33	-11.788	-4.988	1140.310	112.410
34	-10.598	-3.276	1160.858	10.548
35	-19.954	3.314	1245.760	74.902

ROBOT PATH
Sample #	Time (s)	X	Y	Yaw (rad)
1	7.437	-18.990407	4.074412	0.251239
2	8.021	-18.990407	4.074412	0.251239
3	9.003	-19.000005	4.000000	-0.000000
4	10.000	-19.004993	3.980450	-0.058924
5	11.000	-18.978613	4.106792	0.378374
6	12.000	-18.949416	3.876428	-0.784950
7	13.000	-18.949416	3.876428	-0.784950
8	14.000	-18.949416	3.876428	-0.784950
9	15.003	-18.949416	3.876428	-0.784950
10	16.001	-18.949416	3.876428	-0.784950
11	17.001	-18.949416	3.876428	-0.784950
12	18.000	-18.949416	3.876428	-0.784950
13	19.000	-18.949416	3.876428	-0.784950
14	20.002	-18.949416	3.876428	-0.784950
15	21.000	-18.949416	3.876428	-0.784950
16	22.000	-18.947989	3.877304	-0.792955
17	23.004	-18.920844	3.829383	-1.246423
18	24.000	-18.812550	3.562368	-1.209009
19	25.000	-18.758675	3.396158	-1.273469
20	26.000	-18.768605	3.399317	-1.317860
21	27.000	-18.850362	3.407278	-1.613937
