EXPERIMENT SUMMARY
Max Linear Speed (m/s)	0.500
Max Angular Speed (rad/s)	0.800
Recharge Trips	2
Cylinders Visited	65/100

TIMING DATA
Total Simulation Time (s)	1637.438
Total Dwelling Time (s)	325.000
Total Travel Time Between Cylinders (s)	1287.103
Total Time To Reach Stations (s)	35.899
Total Charging Time (s)	0.000
Dwelling Time Per Cylinder (s)	5.000

BATTERY DATA
Total Battery Spent To Reach Stations (%)	6.097

RECHARGE TRIPS
Trip #	Trip Start (s)	Arrive (s)	Time To Station (s)	Battery Start (%)	Battery At Arrival (%)	Battery Spent To Station (%)	Charge Start (s)	Charge End (s)	Charging Time (s)	Battery End (%)	Battery Gain (%)
2	1079.652	1115.551	35.899	24.988	18.892	6.097		1637.438	0.000	63.574	0.000

RECHARGE STATIONS
Station #	X	Y
1	0.000	4.000
2	0.000	-4.000
3	49.000	4.000
4	49.000	-4.000
5	-49.000	-4.000

ALL CYLINDERS
Cylinder #	X	Y
1	-14.595	0.136
2	-16.538	-0.757
3	-45.238	-1.117
4	-41.778	-0.640
5	-12.471	0.666
6	6.804	2.166
7	-6.468	2.713
8	-14.690	3.210
9	-43.751	0.499
10	12.562	0.496
11	33.234	-1.894
12	-46.697	-2.503
13	46.406	2.867
14	-6.845	-0.545
15	-13.248	-2.534
16	-25.307	-0.588
17	2.329	0.545
18	31.503	0.567
19	-20.439	-2.743
20	-18.325	-2.864
21	9.299	-1.713
22	-10.219	-1.700
23	42.299	-1.904
24	-36.905	2.714
25	-8.722	3.214
26	47.694	-1.174
27	24.932	-0.427
28	36.039	-1.562
29	-32.878	1.597
30	43.405	3.005
31	-10.054	1.247
32	-17.724	1.594
33	-2.855	-2.792
34	20.417	0.592
35	-27.661	1.140
36	15.592	0.720
37	-24.655	-2.594
38	11.344	-2.379
39	-35.971	0.277
40	17.022	3.070
41	30.722	-2.255
42	30.123	2.254
43	-22.277	0.836
44	38.122	-0.388
45	36.956	2.244
46	27.883	1.718
47	45.930	-2.426
48	25.501	2.790
49	-45.681	1.787
50	6.132	-0.642
51	-3.989	-0.684
52	5.188	-2.557
53	-43.798	3.212
54	-47.716	-0.258
55	42.492	1.108
56	21.600	-1.584
57	-25.756	2.693
58	2.782	-2.538
59	-26.880	-2.961
60	-47.756	3.229
61	-30.899	-0.842
62	16.653	-2.843
63	19.806	3.069
64	39.963	0.751
65	28.727	-1.237
66	26.369	-1.947
67	-38.654	0.311
68	-40.382	-3.049
69	-15.567	-2.803
70	33.324	2.942
71	23.374	-2.788
72	18.720	-0.863
73	-3.455	2.325
74	19.674	-3.120
75	-1.104	-1.202
76	-38.919	2.722
77	1.826	2.847
78	-22.768	3.134
79	-22.736	-1.706
80	7.610	-3.218
81	39.294	-2.041
82	1.197	-1.127
83	9.123	2.329
84	22.995	1.795
85	-12.664	2.712
86	13.550	-1.921
87	0.087	1.627
88	44.646	-0.547
89	-20.196	2.378
90	-37.489	-3.141
91	-28.219	3.210
92	-20.542	-0.392
93	-41.529	2.042
94	-6.620	-3.141
95	-33.452	-2.135
96	14.299	3.227
97	47.797	1.140
98	-29.855	1.550
99	34.606	1.337
100	-28.016	-0.892

VISITED CYLINDERS
Visit #	X	Y	Travel Time (s)
1	-47.947	3.312	24.700
2	-47.777	-0.062	18.653
3	-45.871	1.723	12.053
4	-45.357	-0.959	12.744
5	-43.949	0.443	9.352
6	-46.874	-2.599	201.098
7	-47.737	-0.460	12.302
8	-45.440	-1.158	10.952
9	-45.750	1.596	13.448
10	-43.955	0.490	10.001
11	-43.897	3.030	12.949
12	-41.726	2.044	11.151
13	-41.855	-0.459	13.048
14	-38.857	0.335	14.849
15	-39.020	2.539	10.803
16	-37.088	2.622	13.051
17	-36.136	0.397	9.849
18	-37.465	-2.947	16.348
19	-40.194	-2.967	14.501
20	-33.647	-2.157	24.401
21	-31.090	-0.888	31.947
22	-32.834	1.400	11.203
23	-30.039	1.470	13.300
24	-27.865	1.119	16.048
25	-28.119	-0.715	7.455
26	-28.267	3.014	15.595
27	-25.955	2.640	12.354
28	-25.415	-0.413	15.496
29	-24.791	-2.428	24.650
30	-26.738	-2.807	7.800
31	-22.937	-1.719	14.350
32	-22.392	0.669	12.761
33	-20.748	-0.382	9.089
34	-20.543	-2.576	11.502
35	-18.511	-2.787	18.701
36	-16.725	-0.830	13.498
37	-15.741	-2.697	10.853
38	-14.744	-0.010	22.395
39	-13.406	-2.408	11.507
40	-12.595	0.506	11.096
41	-12.700	2.514	16.599
42	-14.551	3.062	9.553
43	-10.257	1.295	19.297
44	-8.897	3.109	12.549
45	-6.676	2.703	13.352
46	-6.901	-0.358	15.550
47	0.061	1.835	205.249
48	1.620	2.862	9.100
49	2.209	0.704	15.406
50	1.210	-0.932	9.192
51	-0.926	-1.097	12.201
52	-3.797	-0.667	13.752
53	-2.831	-2.595	10.798
54	-3.409	2.125	22.399
55	-6.288	2.625	14.851
56	-6.735	-0.375	13.552
57	-8.580	3.069	16.251
58	-9.868	1.322	10.748
59	-10.143	-1.521	15.260
60	-12.291	0.592	12.840
61	-12.561	2.533	12.098
62	-14.423	0.237	26.250
63	-14.591	3.031	13.251
64	-16.392	-0.613	23.903
65	-17.557	1.476	9.949
