EXPERIMENT SUMMARY
Max Linear Speed (m/s)	0.500
Max Angular Speed (rad/s)	0.800
Recharge Trips	2
Cylinders Visited	30/100

TIMING DATA
Total Simulation Time (s)	1304.175
Total Dwelling Time (s)	150.000
Total Travel Time Between Cylinders (s)	1125.248
Total Time To Reach Stations (s)	124.194
Total Charging Time (s)	289.696
Dwelling Time Per Cylinder (s)	5.000

BATTERY DATA
Total Battery Spent To Reach Stations (%)	15.703

RECHARGE TRIPS
Trip #	Trip Start (s)	Arrive (s)	Time To Station (s)	Battery Start (%)	Battery At Arrival (%)	Battery Spent To Station (%)	Charge Start (s)	Charge End (s)	Charging Time (s)	Battery At Charge Start (%)	Battery End (%)	Battery Gain (%)	Finalized Reason
1	99.055	162.501	63.446	24.986	17.326	7.660	163.302	307.800	144.498	17.760	98.038	80.278	charging_end:trend_full
2	1056.353	1117.101	60.748	24.990	16.947	8.043	1117.907	1263.105	145.198	17.384	98.051	80.667	charging_end:trend_full

RECHARGE STATIONS
Station #	X	Y
1	0.000	4.000
2	0.000	-4.000
3	49.000	4.000
4	49.000	-4.000
5	-49.000	-4.000

ALL CYLINDERS
Cylinder #	X	Y
1	-34.287	-0.325
2	-19.674	-0.617
3	40.148	-1.415
4	8.675	-0.965
5	3.774	2.536
6	37.629	-3.022
7	-16.176	2.912
8	-28.825	-1.708
9	13.033	-2.830
10	-23.917	1.587
11	14.545	-0.777
12	-45.863	0.805
13	29.584	1.629
14	11.624	-1.198
15	18.639	-1.611
16	26.815	-3.143
17	43.023	-0.119
18	-24.639	-1.904
19	-6.594	-1.040
20	-35.660	2.918
21	13.056	2.177
22	-27.799	1.540
23	24.652	-2.555
24	-15.473	-2.944
25	1.862	-0.498
26	-14.261	0.311
27	6.171	2.979
28	-8.830	2.631
29	26.231	1.121
30	-5.687	1.507
31	-2.048	-0.700
32	46.073	3.117
33	2.740	-2.413
34	46.523	-2.631
35	-38.519	-2.096
36	5.187	-1.882
37	-33.820	2.112
38	-40.545	-0.243
39	39.164	2.979
40	47.436	-0.690
41	37.100	2.077
42	-43.465	0.255
43	-13.208	-2.673
44	-47.790	-2.908
45	-10.893	-0.256
46	19.914	3.096
47	22.450	-2.150
48	32.187	3.125
49	-33.427	-2.322
50	43.824	2.240
51	21.889	2.004
52	32.175	-3.134
53	34.869	1.926
54	20.140	-2.946
55	40.095	0.971
56	30.447	-1.558
57	45.728	1.084
58	-26.512	-1.177
59	10.286	3.210
60	-9.676	-1.910
61	-36.466	-0.949
62	-29.894	2.825
63	-3.765	-2.690
64	-0.141	-1.747
65	-14.136	2.631
66	8.584	1.111
67	-20.747	2.052
68	-41.004	2.086
69	-37.924	1.149
70	16.441	1.777
71	33.705	-1.292
72	9.644	-3.011
73	6.622	-0.170
74	23.911	0.089
75	-11.654	2.472
76	-32.062	0.215
77	-42.816	-2.418
78	-3.602	1.554
79	31.834	0.694
80	-19.819	-2.628
81	-31.104	-2.739
82	-47.917	0.304
83	43.936	-2.143
84	-25.751	3.015
85	16.313	-3.165
86	-44.848	-2.386
87	35.822	-0.015
88	-4.604	-0.287
89	-18.602	2.727
90	-22.256	-1.370
91	18.165	0.642
92	28.348	-1.185
93	-7.700	-2.874
94	-44.448	3.027
95	-16.645	0.682
96	-46.451	3.101
97	20.094	-0.132
98	3.723	0.334
99	-8.499	0.149
100	1.956	1.584

VISITED CYLINDERS
Visit #	X	Y	Travel Time (s)
1	-46.768	2.882	27.205
2	-47.908	0.509	13.097
3	-46.054	0.887	9.598
4	-44.628	2.923	12.707
5	-43.614	0.392	11.943
6	-47.954	-3.038	224.104
7	-47.967	0.118	14.897
8	-46.024	0.687	15.400
9	-44.983	-2.233	18.103
10	-43.624	0.131	13.097
11	-42.958	-2.270	13.801
12	-40.731	-0.302	14.402
13	-41.063	1.890	12.196
14	-38.129	1.135	15.203
15	-38.561	-1.900	14.997
16	-36.675	-0.933	11.352
17	-34.478	-0.346	28.699
18	-33.571	-2.179	10.699
19	-32.231	0.111	16.100
20	-33.782	1.913	9.951
21	-35.526	2.777	9.206
22	-39.465	4.948	45.093
23	-44.245	3.063	22.101
24	-49.952	0.063	49.350
25	-46.607	2.979	18.800
26	-49.948	-3.164	74.852
27	-43.749	-4.949	69.400
28	-44.136	4.950	90.797
29	-47.956	-3.034	251.203
30	-47.952	0.109	14.100
