EXPERIMENT SUMMARY
Max Linear Speed (m/s)	0.500
Max Angular Speed (rad/s)	0.800
Recharge Trips	3
Cylinders Visited	66/30

TIMING DATA
Total Simulation Time (s)	1800.269
Total Dwelling Time (s)	330.000
Total Travel Time Between Cylinders (s)	1429.906
Total Time To Reach Stations (s)	68.153
Total Charging Time (s)	211.415
Dwelling Time Per Cylinder (s)	5.000

BATTERY DATA
Total Battery Spent To Reach Stations (%)	18.099

RECHARGE TRIPS
Trip #	Trip Start (s)	Arrive (s)	Time To Station (s)	Battery Start (%)	Battery At Arrival (%)	Battery Spent To Station (%)	Charge Start (s)	Charge End (s)	Charging Time (s)	Battery At Charge Start (%)	Battery End (%)	Battery Gain (%)	Finalized Reason
1	379.601	417.854	38.253	24.976	15.395	9.581	418.704	492.204	73.500	16.395	98.063	81.668	charging_end:trend_full
2	880.354	898.108	17.754	24.972	19.947	5.025	898.701	968.406	69.705	20.613	98.060	77.447	charging_end:trend_full
3	1362.054	1374.200	12.146	24.994	21.501	3.493	1374.900	1443.110	68.210	22.263	98.041	75.778	charging_end:trend_full

RECHARGE STATIONS
Station #	X	Y
1	0.000	4.000
2	0.000	-4.000
3	19.000	4.000
4	19.000	-4.000
5	-19.000	4.000
6	-19.000	-4.000

ALL CYLINDERS
Cylinder #	X	Y
1	0.732	2.195
2	-6.018	-0.954
3	12.762	-1.617
4	10.242	-1.639
5	-17.219	1.125
6	-9.731	-1.497
7	2.486	-1.911
8	-14.977	0.248
9	-10.687	1.494
10	-13.094	-1.051
11	-8.375	1.315
12	15.597	0.829
13	10.971	2.606
14	8.166	-1.472
15	4.860	-2.927
16	-0.275	-2.461
17	-4.075	0.170
18	13.351	1.168
19	14.991	-1.090
20	-18.156	-1.304
21	17.877	2.723
22	-3.895	-2.071
23	-1.153	3.195
24	-17.226	-3.153
25	6.870	0.546
26	-1.913	0.317
27	-13.112	1.622
28	7.202	2.689
29	9.589	0.306
30	18.124	-0.177

VISITED CYLINDERS
Visit #	X	Y	Travel Time (s)
1	-17.351	1.276	27.954
2	-18.155	-1.099	13.950
3	-15.186	0.235	14.253
4	-17.172	-2.961	13.951
5	-13.292	-1.084	17.765
6	-13.206	1.444	13.182
7	-10.874	1.422	14.404
8	-9.865	-1.342	18.666
9	-8.535	1.184	13.233
10	-6.208	-0.876	13.893
11	-4.276	0.131	11.157
12	-4.016	-1.902	12.545
13	-2.102	0.248	14.448
14	-0.442	-2.334	14.455
15	2.279	-1.888	15.004
16	0.762	1.998	16.446
17	-1.017	3.043	10.294
18	-0.965	3.284	162.304
19	0.659	2.390	6.296
20	-1.797	0.483	22.001
21	-3.882	0.249	13.350
22	-3.819	-1.884	12.551
23	-5.810	-0.951	11.600
24	-8.202	1.206	14.649
25	-9.578	-1.371	13.500
26	-10.544	1.345	10.152
27	-12.920	1.561	19.254
28	-12.994	-0.874	10.897
29	-14.771	0.231	11.048
30	-17.021	1.065	28.049
31	-18.018	-1.167	10.701
32	-17.223	-2.946	10.298
33	-10.394	-4.949	48.800
34	-0.478	-2.490	41.500
35	-0.276	-2.669	108.250
36	2.315	-2.021	13.800
37	4.656	-2.918	10.850
38	6.737	0.398	20.000
39	7.984	-1.384	10.351
40	9.400	0.226	11.502
41	10.081	-1.518	9.051
42	12.568	-1.566	19.598
43	13.224	1.008	16.249
44	11.062	2.423	12.053
45	14.823	-0.968	20.449
46	15.423	0.717	7.648
47	17.923	-0.164	14.603
48	17.804	2.526	12.646
49	7.410	2.641	61.204
50	3.501	4.951	44.261
51	-0.966	3.286	108.492
52	0.659	2.390	7.198
53	-1.803	0.476	14.846
54	-3.885	0.256	14.199
55	-3.823	-1.880	12.405
56	-5.815	-0.931	11.495
57	-8.208	1.218	15.360
58	-9.569	-1.366	14.053
59	-10.553	1.340	15.989
60	-12.918	1.572	19.656
61	-12.985	-0.874	11.698
62	-14.773	0.228	10.397
63	-17.004	1.118	30.649
64	-18.017	-1.154	15.455
65	-17.229	-2.950	10.245
66	-16.655	4.951	50.658
