EXPERIMENT SUMMARY
Max Linear Speed (m/s)	0.500
Max Angular Speed (rad/s)	0.800
Recharge Trips	3
Cylinders Visited	56/30

TIMING DATA
Total Simulation Time (s)	1800.381
Total Dwelling Time (s)	280.000
Total Travel Time Between Cylinders (s)	1497.205
Total Time To Reach Stations (s)	119.135
Total Charging Time (s)	224.503
Dwelling Time Per Cylinder (s)	5.000

BATTERY DATA
Total Battery Spent To Reach Stations (%)	32.744

RECHARGE TRIPS
Trip #	Trip Start (s)	Arrive (s)	Time To Station (s)	Battery Start (%)	Battery At Arrival (%)	Battery Spent To Station (%)	Charge Start (s)	Charge End (s)	Charging Time (s)	Battery At Charge Start (%)	Battery End (%)	Battery Gain (%)	Finalized Reason
1	472.461	543.700	71.239	24.998	7.222	17.775	544.402	625.507	81.105	7.991	98.105	90.114	charging_end:trend_full
2	1098.353	1126.106	27.753	24.997	16.522	8.475	1126.805	1199.506	72.701	17.278	98.054	80.776	charging_end:trend_full
3	1656.058	1676.201	20.143	24.975	18.482	6.493	1677.107	1747.804	70.697	19.468	98.021	78.553	charging_end:trend_full

RECHARGE STATIONS
Station #	X	Y
1	0.000	4.000
2	0.000	-4.000
3	19.000	4.000
4	19.000	-4.000
5	-19.000	4.000
6	-19.000	-4.000

ALL CYLINDERS
Cylinder #	X	Y
1	6.496	-1.834
2	-14.619	-1.512
3	13.442	0.071
4	-8.963	1.880
5	-15.869	1.136
6	-10.519	-1.534
7	10.409	0.602
8	17.032	0.981
9	-6.980	-2.625
10	-3.992	2.463
11	-1.833	-1.404
12	3.207	2.610
13	14.741	1.629
14	-7.417	-0.155
15	-5.315	-1.235
16	4.193	-2.091
17	-13.290	1.812
18	1.384	0.695
19	12.801	-2.010
20	-17.806	2.904
21	-5.976	2.073
22	-1.939	1.065
23	9.304	3.137
24	-12.382	-0.488
25	4.777	0.093
26	1.278	-2.195
27	12.655	2.622
28	-17.640	-0.430
29	15.008	-1.348
30	9.390	-1.300

VISITED CYLINDERS
Visit #	X	Y	Travel Time (s)
1	-18.076	2.937	22.401
2	-17.687	-0.225	22.013
3	-16.066	1.106	15.642
4	-14.773	-1.371	16.704
5	-12.589	-0.494	16.298
6	-13.332	1.616	15.304
7	-9.159	1.837	26.745
8	-10.502	-1.332	20.943
9	-7.623	-0.146	16.881
10	-7.100	-2.464	19.273
11	-5.515	-1.268	15.446
12	-6.010	1.872	19.852
13	-4.154	2.342	17.503
14	-2.140	1.096	16.100
15	-1.936	-1.229	18.664
16	1.181	0.638	20.893
17	1.197	-2.014	18.241
18	3.997	-2.029	19.398
19	4.629	-0.048	17.352
20	6.304	-1.760	16.398
21	1.161	-2.360	177.151
22	-1.674	-1.531	22.963
23	-1.875	0.873	20.438
24	1.190	0.642	18.649
25	3.062	2.483	34.249
26	4.613	0.203	17.452
27	4.148	-1.895	17.799
28	6.314	-1.747	17.653
29	9.189	-1.305	24.954
30	10.236	0.489	18.093
31	9.307	2.942	17.905
32	12.456	2.579	20.514
33	13.300	0.218	15.333
34	14.540	1.577	14.053
35	14.914	-1.166	29.149
36	12.931	-1.859	18.648
37	16.860	0.878	24.948
38	17.127	1.150	161.353
39	14.936	1.667	17.548
40	13.604	0.188	31.748
41	14.972	-1.143	13.954
42	12.950	-1.869	16.604
43	10.590	0.528	26.054
44	9.566	-1.211	15.037
45	12.539	2.463	24.055
46	9.484	3.030	18.105
47	6.633	-1.687	40.896
48	4.969	0.028	16.947
49	4.339	-1.949	13.360
50	1.471	-2.143	26.440
51	1.478	0.510	17.803
52	3.141	2.417	16.444
53	-1.743	1.088	33.810
54	-1.751	-1.216	17.541
55	1.143	-2.346	112.804
56	-1.675	-1.542	17.101
