EXPERIMENT SUMMARY
Max Linear Speed (m/s)	0.500
Max Angular Speed (rad/s)	0.800
Recharge Trips	3
Cylinders Visited	54/30

TIMING DATA
Total Simulation Time (s)	1800.235
Total Dwelling Time (s)	540.000
Total Travel Time Between Cylinders (s)	1216.042
Total Time To Reach Stations (s)	65.803
Total Charging Time (s)	210.088
Dwelling Time Per Cylinder (s)	10.000

BATTERY DATA
Total Battery Spent To Reach Stations (%)	16.686

RECHARGE TRIPS
Trip #	Trip Start (s)	Arrive (s)	Time To Station (s)	Battery Start (%)	Battery At Arrival (%)	Battery Spent To Station (%)	Charge Start (s)	Charge End (s)	Charging Time (s)	Battery At Charge Start (%)	Battery End (%)	Battery Gain (%)	Finalized Reason
1	460.251	501.303	41.052	24.978	15.847	9.131	502.201	575.303	73.102	16.827	98.049	81.222	charging_end:trend_full
2	1004.050	1009.951	5.901	24.985	23.545	1.440	1010.613	1077.002	66.389	24.321	98.100	73.779	charging_end:trend_full
3	1525.651	1544.501	18.850	24.975	18.860	6.115	1545.208	1615.805	70.597	19.626	98.068	78.442	charging_end:trend_full

RECHARGE STATIONS
Station #	X	Y
1	0.000	4.000
2	0.000	-4.000
3	19.000	4.000
4	19.000	-4.000
5	-19.000	4.000
6	-19.000	-4.000

ALL CYLINDERS
Cylinder #	X	Y
1	0.152	2.622
2	11.448	3.248
3	16.279	-0.442
4	-12.305	0.764
5	-13.218	-3.096
6	-3.956	-0.492
7	-10.472	-2.942
8	12.807	-1.716
9	-16.833	1.057
10	-7.054	-1.024
11	7.600	1.351
12	16.579	2.674
13	11.074	0.584
14	7.460	-2.124
15	9.943	-2.405
16	3.341	-0.191
17	-14.358	2.076
18	-5.120	-2.162
19	-14.216	-0.151
20	-6.312	1.489
21	3.339	2.158
22	-17.268	-1.160
23	1.765	-2.169
24	-9.273	-0.662
25	-2.343	0.958
26	5.037	-2.396
27	-9.001	2.240
28	17.969	1.072
29	9.587	2.359
30	17.795	-2.392

VISITED CYLINDERS
Visit #	X	Y	Travel Time (s)
1	-17.106	1.106	35.861
2	-17.300	-0.961	12.942
3	-14.420	-0.135	14.749
4	-14.466	1.903	9.800
5	-12.511	0.776	10.758
6	-13.237	-2.879	29.342
7	-10.662	-2.863	12.851
8	-9.442	-0.781	12.598
9	-7.255	-1.049	12.205
10	-5.318	-2.117	18.147
11	-4.134	-0.581	11.247
12	-6.220	1.309	14.301
13	-2.540	0.924	15.753
14	-0.054	2.558	36.752
15	3.147	2.163	23.446
16	3.232	-0.014	11.951
17	1.819	-1.976	10.699
18	1.620	-2.320	140.100
19	4.834	-2.415	14.401
20	3.377	-0.393	10.305
21	7.268	-2.084	23.647
22	7.513	1.170	15.448
23	9.433	2.235	22.801
24	10.887	0.646	8.799
25	11.315	3.090	13.200
26	12.723	-1.537	47.548
27	10.093	-2.265	12.101
28	16.096	-0.497	29.501
29	17.634	-2.286	13.751
30	17.882	0.898	13.697
31	16.622	2.470	10.051
32	17.932	-2.549	118.401
33	17.998	0.878	15.152
34	16.486	-0.428	8.896
35	16.642	2.494	19.404
36	12.978	-1.599	21.955
37	11.250	0.488	13.244
38	10.092	-2.267	11.151
39	7.665	-2.076	12.898
40	7.676	1.172	15.650
41	9.480	2.186	11.199
42	11.287	3.120	22.705
43	4.969	4.959	52.045
44	3.479	2.311	11.951
45	3.391	-0.002	18.502
46	4.976	-2.206	13.550
47	1.956	-2.095	13.948
48	0.154	2.831	115.000
49	3.163	2.246	16.252
50	3.281	0.001	12.697
51	1.830	-1.972	12.650
52	4.860	-2.292	13.198
53	7.264	-2.100	17.801
54	7.519	1.167	14.902
