EXPERIMENT SUMMARY
Max Linear Speed (m/s)	0.500
Max Angular Speed (rad/s)	0.800
Recharge Trips	3
Cylinders Visited	53/30

TIMING DATA
Total Simulation Time (s)	1800.251
Total Dwelling Time (s)	530.000
Total Travel Time Between Cylinders (s)	1232.894
Total Time To Reach Stations (s)	117.704
Total Charging Time (s)	223.495
Dwelling Time Per Cylinder (s)	10.000

BATTERY DATA
Total Battery Spent To Reach Stations (%)	31.842

RECHARGE TRIPS
Trip #	Trip Start (s)	Arrive (s)	Time To Station (s)	Battery Start (%)	Battery At Arrival (%)	Battery Spent To Station (%)	Charge Start (s)	Charge End (s)	Charging Time (s)	Battery At Charge Start (%)	Battery End (%)	Battery Gain (%)	Finalized Reason
1	450.851	476.404	25.553	24.987	17.913	7.074	477.407	548.503	71.096	19.025	98.024	78.999	charging_end:trend_full
2	987.555	1028.305	40.750	24.987	12.956	12.032	1029.103	1104.901	75.798	13.835	98.056	84.221	charging_end:trend_full
3	1551.351	1602.752	51.401	24.996	12.259	12.737	1603.300	1679.901	76.601	12.926	98.037	85.111	charging_end:trend_full

RECHARGE STATIONS
Station #	X	Y
1	0.000	4.000
2	0.000	-4.000
3	19.000	4.000
4	19.000	-4.000
5	-19.000	4.000
6	-19.000	-4.000

ALL CYLINDERS
Cylinder #	X	Y
1	-2.870	-1.936
2	2.501	-0.361
3	0.438	2.014
4	-2.640	1.964
5	-12.982	2.813
6	-13.518	0.755
7	-5.077	-2.170
8	14.461	-0.792
9	-9.714	0.012
10	-17.811	-0.939
11	4.564	-0.983
12	17.342	1.203
13	2.957	3.053
14	-7.292	-1.153
15	-0.713	-2.962
16	3.432	-2.931
17	-5.414	0.204
18	17.386	-2.434
19	-10.300	-2.125
20	-7.335	2.824
21	11.954	0.022
22	-15.400	2.218
23	6.493	2.919
24	15.305	2.469
25	10.956	-2.861
26	7.086	-2.302
27	-13.862	-2.414
28	5.366	0.992
29	-10.910	2.041
30	-15.759	-1.656

VISITED CYLINDERS
Visit #	X	Y	Arrival Time (s)	Travel Time (s)
1	-15.676	2.122	33.109	33.109
2	-17.754	-0.748	59.411	16.302
3	-15.878	-1.500	80.500	11.089
4	-14.026	-2.291	118.057	27.557
5	-13.621	0.585	141.401	13.344
6	-13.109	2.646	177.153	25.752
7	-11.108	2.021	198.305	11.152
8	-9.887	0.124	219.654	11.349
9	-10.341	-1.933	242.154	12.500
10	-7.493	-1.135	267.301	15.147
11	-5.603	0.141	299.651	22.350
12	-5.214	-2.020	323.509	13.858
13	-3.070	-1.881	345.206	11.697
14	-2.716	1.779	371.707	16.501
15	0.241	1.942	398.501	16.794
16	2.326	-0.263	424.260	15.759
17	2.854	2.884	447.503	13.243
18	0.407	2.219	570.000	112.497
19	2.756	3.086	591.805	11.805
20	2.455	-0.175	618.152	16.347
21	4.396	-0.857	644.752	16.600
22	5.187	0.894	663.558	8.806
23	3.473	-2.733	688.157	14.599
24	6.879	-2.266	717.358	19.201
25	6.458	2.720	746.502	19.144
26	11.759	0.055	779.002	22.500
27	10.932	-2.665	805.310	16.308
28	14.264	-0.817	830.904	15.594
29	15.204	2.297	857.050	16.146
30	17.138	1.220	877.806	10.756
31	17.320	-2.249	905.402	17.596
32	10.109	4.951	949.601	34.199
33	-0.562	-3.108	1120.554	160.953
34	3.228	-2.975	1148.313	17.759
35	2.464	-0.560	1170.760	12.447
36	4.368	-1.053	1190.560	9.800
37	5.247	0.833	1224.153	23.593
38	3.050	2.866	1249.511	15.358
39	6.297	2.855	1273.206	13.695
40	0.649	2.036	1304.601	21.395
41	-2.706	-1.816	1334.609	20.008
42	-2.586	1.774	1360.105	15.496
43	-5.218	0.241	1383.502	13.397
44	-4.997	-1.978	1405.550	12.048
45	-7.087	-1.135	1427.351	11.801
46	-9.521	-0.026	1457.000	19.649
47	-10.157	-1.983	1475.004	8.004
48	-7.419	2.656	1507.901	22.897
49	-10.710	2.009	1531.802	13.901
50	-15.581	2.313	1712.458	170.656
51	-13.182	2.797	1739.052	16.594
52	-13.591	0.949	1759.705	10.653
53	-11.116	2.044	1786.003	16.298

ROBOT PATH
Sample #	Time (s)	X	Y	Yaw (rad)
1	5.518	-19.000005	4.000000	-0.000000
2	6.009	-18.996293	4.046182	0.153446
3	7.000	-18.996293	4.046182	0.153446
4	8.000	-18.996293	4.046182	0.153446
5	9.006	-18.996293	4.046182	0.153446
6	10.001	-18.816217	3.374298	-1.269774
7	11.000	-18.996293	4.046182	0.153446
8	12.000	-18.718939	3.109312	-1.271142
9	13.007	-18.599299	3.039688	-0.919487
10	14.010	-18.414480	2.966298	-0.613605
11	15.001	-18.164065	2.900528	-0.390243
12	16.002	-17.850029	2.808223	-0.322514
13	17.000	-17.637778	2.742759	-0.310253
14	18.000	-17.323587	2.664572	-0.261239
15	19.000	-17.140953	2.625591	-0.245415
16	20.000	-17.021139	2.595674	-0.252589
17	21.000	-16.932622	2.571397	-0.263946
18	22.000	-16.899355	2.561316	-0.270921
19	23.004	-16.875189	2.553717	-0.276351
20	24.000	-16.803761	2.524591	-0.307366
21	25.008	-16.803761	2.524591	-0.307366
22	26.000	-16.803761	2.524591	-0.307366
23	27.000	-16.803761	2.524591	-0.307366
24	28.000	-16.803761	2.524591	-0.307366
25	29.014	-16.803761	2.524591	-0.307366
26	30.000	-16.803761	2.524591	-0.307366
27	31.000	-16.803761	2.524591	-0.307366
28	32.000	-16.803761	2.524591	-0.307366
29	33.001	-16.803761	2.524591	-0.307366
30	34.000	-16.787517	2.495495	-0.454708
31	35.001	-16.726013	2.484276	-0.804686
32	36.002	-16.714802	2.532379	-1.080912
33	37.000	-16.845502	2.569828	-1.577495
34	38.003	-16.939453	2.489558	-1.824110
35	39.001	-16.982613	2.228058	-1.774388
36	40.000	-17.026193	1.931879	-1.745200
37	41.000	-17.064156	1.674395	-1.738026
38	42.000	-17.102495	1.438818	-1.742464
39	43.000	-17.123608	1.304073	-1.741740
40	44.000	-17.144043	1.174064	-1.742839
41	45.002	-17.214841	0.794432	-1.769241
42	46.000	-17.214841	0.794432	-1.769241
43	47.001	-17.288149	0.516574	-1.829938
44	48.000	-17.310042	0.451462	-1.849931
45	49.000	-17.322226	0.417530	-1.860682
46	50.000	-17.338096	0.374996	-1.874296
47	51.000	-17.338096	0.374996	-1.874296
48	52.000	-17.338096	0.374996	-1.874296
49	53.001	-17.338096	0.374996	-1.874296
50	54.000	-17.338096	0.374996	-1.874296
51	55.005	-17.338096	0.374996	-1.874296
52	56.008	-17.338096	0.374996	-1.874296
53	57.003	-17.338096	0.374996	-1.874296
54	58.000	-17.338096	0.374996	-1.874296
55	59.005	-17.338096	0.374996	-1.874296
56	60.002	-17.310059	0.383088	-1.764767
57	61.000	-17.228175	0.394524	-1.490967
58	62.005	-17.228175	0.394524	-1.490967
59	63.000	-16.927424	0.215805	-0.988527
60	64.000	-16.880812	0.129836	-1.013045
61	65.000	-16.783593	-0.065038	-1.055369
62	66.000	-16.770801	-0.098879	-1.068039
63	67.000	-16.684373	-0.305549	-1.092685
64	68.003	-16.640400	-0.389213	-1.069045
65	69.000	-16.611035	-0.439197	-1.052002
66	70.000	-16.595501	-0.463932	-1.042344
67	71.001	-16.544829	-0.514646	-0.985403
68	72.000	-16.544829	-0.514646	-0.985403
69	73.000	-16.544829	-0.514646	-0.985403
70	74.000	-16.544829	-0.514646	-0.985403
71	75.000	-16.544829	-0.514646	-0.985403
72	76.018	-16.544829	-0.514646	-0.985403
73	77.000	-16.544829	-0.514646	-0.985403
74	78.000	-16.544829	-0.514646	-0.985403
