EXPERIMENT SUMMARY
Max Linear Speed (m/s)	0.500
Max Angular Speed (rad/s)	0.800
Recharge Trips	3
Cylinders Visited	49/30

TIMING DATA
Total Simulation Time (s)	1803.204
Total Dwelling Time (s)	490.000
Total Travel Time Between Cylinders (s)	1271.246
Total Time To Reach Stations (s)	161.437
Total Charging Time (s)	227.597
Dwelling Time Per Cylinder (s)	10.000

BATTERY DATA
Total Battery Spent To Reach Stations (%)	36.681

RECHARGE TRIPS
Trip #	Trip Start (s)	Arrive (s)	Time To Station (s)	Battery Start (%)	Battery At Arrival (%)	Battery Spent To Station (%)	Charge Start (s)	Charge End (s)	Charging Time (s)	Battery At Charge Start (%)	Battery End (%)	Battery Gain (%)	Finalized Reason
1	433.160	468.652	35.492	24.998	16.267	8.731	469.403	542.203	72.800	17.156	98.045	80.889	charging_end:trend_full
2	978.252	1056.800	78.548	24.996	8.773	16.223	1057.605	1137.203	79.598	9.648	98.094	88.446	charging_end:trend_full
3	1595.155	1642.552	47.397	24.984	13.258	11.726	1643.604	1718.803	75.199	14.479	98.035	83.556	charging_end:trend_full

RECHARGE STATIONS
Station #	X	Y
1	0.000	4.000
2	0.000	-4.000
3	19.000	4.000
4	19.000	-4.000
5	-19.000	4.000
6	-19.000	-4.000

ALL CYLINDERS
Cylinder #	X	Y
1	-17.470	1.338
2	10.069	-2.069
3	-11.885	-1.505
4	-13.860	1.491
5	-16.338	-1.076
6	-1.867	1.638
7	-7.307	1.781
8	12.427	-2.949
9	-17.367	-3.076
10	5.802	-0.145
11	4.006	3.033
12	-10.898	1.821
13	4.291	-1.838
14	8.253	-0.130
15	0.218	-1.548
16	-4.769	0.015
17	-7.486	-2.673
18	5.860	2.180
19	16.049	-1.534
20	-3.581	-1.876
21	13.730	-0.959
22	10.053	2.241
23	-5.230	2.378
24	7.548	-2.725
25	1.986	2.392
26	2.818	0.272
27	17.739	2.222
28	13.269	2.761
29	-9.588	-0.794
30	-1.999	-0.527

VISITED CYLINDERS
Visit #	X	Y	Arrival Time (s)	Travel Time (s)
1	-17.578	1.506	41.710	41.710
2	-16.525	-0.956	75.958	24.248
3	-17.370	-2.881	96.808	10.850
4	-14.077	1.397	147.800	40.992
5	-12.042	-1.377	173.257	15.457
6	-11.024	1.670	202.952	19.695
7	-9.763	-0.678	224.604	11.652
8	-7.495	1.687	251.556	16.952
9	-5.353	2.184	285.765	24.209
10	-4.920	0.156	305.604	9.839
11	-3.779	-1.774	341.902	26.298
12	-2.204	-0.565	361.956	10.054
13	-1.971	1.462	383.504	11.548
14	0.051	-1.425	427.305	33.801
15	0.188	-1.751	566.901	129.596
16	-1.874	-0.676	588.806	11.905
17	-3.374	-1.858	608.358	9.552
18	-4.599	-0.095	629.900	11.542
19	-1.984	1.463	653.804	13.904
20	-5.064	2.253	677.353	13.549
21	-7.109	1.756	699.156	11.803
22	-9.431	-0.690	728.662	19.506
23	-10.743	1.697	751.252	12.590
24	-11.754	-1.346	777.053	15.801
25	-13.686	1.373	802.103	15.050
26	-16.156	-0.988	829.260	17.157
27	-17.304	1.219	850.409	11.149
28	-17.308	-2.877	894.803	34.394
29	-17.018	4.950	949.451	44.648
30	-17.577	1.507	1166.150	206.699
31	-14.047	1.541	1192.950	16.800
32	-16.269	-0.890	1218.003	15.053
33	-12.068	-1.429	1246.056	18.053
34	-11.028	1.663	1276.905	20.849
35	-9.752	-0.664	1299.303	12.398
36	-7.484	1.687	1326.060	16.757
37	-5.358	2.187	1360.051	23.991
38	-4.921	0.154	1377.859	7.808
39	-3.766	-1.757	1417.409	29.550
40	-2.197	-0.565	1437.506	10.097
41	-1.973	1.472	1459.501	11.995
42	0.056	-1.425	1502.712	33.211
43	2.614	0.226	1525.705	12.993
44	1.933	2.192	1546.102	10.397
45	3.846	2.904	1572.553	16.451
46	5.659	2.184	1592.503	9.950
47	1.829	2.522	1744.008	141.505
48	3.808	3.050	1764.717	10.709
49	2.803	0.469	1792.956	18.239

ROBOT PATH
Sample #	Time (s)	X	Y	Yaw (rad)
1	10.511	-19.000005	4.000000	-0.000000
